frame_niva_run1;phase_niva_run1;frame_eye_run1;phase_eye_run1;frame_niva_run2;phase_niva_run2;frame_eye_run2;phase_eye_run2
1604;S;1606;S;1604;S;1606;S
1629;S;1629;S;1629;S;1630;S
1639;D;1643;D;1639;D;1644;D
1653;S;1654;S;1653;S;1654;S
1664;D;1667;D;1664;D;1666;D
1678;S;1678;S;1678;S;1676;S
1688;D;1690;D;1688;D;1689;D
1702;S;1700;S;1701;S;1700;S
1711;D;1714;D;1711;D;1714;D
1724;S;1725;S;1724;S;1724;S
1735;D;1737;D;1734;D;1739;D
1748;S;1749;S;1747;S;1749;S
1758;D;1763;D;1758;D;1762;D
1771;S;1772;S;1772;S;1772;S
1782;D;1786;D;1782;D;1785;D
1795;S;1795;S;1794;S;1795;S
1805;D;1807;D;1805;D;1809;D
1818;S;1818;S;1818;S;1819;S
1829;D;1831;D;1829;D;1831;D
1841;S;1842;S;1841;S;1842;S
1853;D;1856;D;1853;D;1856;D
1866;S;1866;S;1866;S;1866;S
1875;D;1879;D;1876;D;1880;D
1887;S;1891;S;1888;S;1891;S
1898;D;1903;D;1898;D;1904;D
1911;S;1915;S;1910;S;1913;S
1922;D;1925;D;1921;D;1926;D
1934;S;1936;S;1934;S;1935;S
1945;D;1949;D;1944;D;1948;D
1956;S;1959;S;1956;S;1958;S
1967;D;1972;D;1967;D;1971;D
1980;S;1983;S;1979;S;1981;S
1991;D;1994;D;1991;D;1994;D
2001;S;2006;S;2004;S;2004;S
2014;D;2019;D;2014;D;2018;D
2025;S;2029;S;2025;S;2029;S
2036;D;2041;D;2036;D;2043;D
2048;S;2052;S;2049;S;2054;S
2059;D;2065;D;2060;D;2065;D
2082;D;2086;D;2082;D;2086;D
376;S;375;S;377;S;376;S
395;S;395;S;395;S;395;S
414;S;414;S;413;S;414;S
431;S;432;S;431;S;431;S
451;S;450;S;450;S;451;S
469;S;469;S;469;S;469;S
489;S;488;S;488;S;488;S
508;S;508;S;507;S;506;S
526;S;525;S;526;S;525;S
544;S;545;S;544;S;544;S
552;D;554;D;552;D;552;D
562;S;563;S;563;S;562;S
570;D;571;D;570;D;570;D
581;S;582;S;581;S;581;S
589;D;590;D;590;D;589;D
599;S;599;S;599;S;598;S
608;D;608;D;608;D;608;D
618;S;619;S;618;S;619;S
627;D;627;D;627;D;627;D
637;S;636;S;638;S;636;S
646;D;646;D;646;D;645;D
657;S;656;S;657;S;656;S
664;D;665;D;664;D;665;D
674;S;675;S;675;S;675;S
684;D;683;D;684;D;683;D
694;S;693;S;694;S;693;S
702;D;702;D;702;D;702;D
720;D;720;D;721;D;720;D
731;S;729;S;731;S;731;S
739;D;737;D;739;D;737;D
757;D;755;D;757;D;757;D
775;D;773;D;776;D;775;D
795;D;794;D;795;D;793;D
814;D;812;D;814;D;812;D
833;D;831;D;833;D;832;D
852;D;851;D;852;D;852;D
871;D;871;D;871;D;871;D
889;D;889;D;889;D;888;D
908;D;908;D;909;D;908;D
828;S;828;S;827;S;828;S
834;D;834;D;832;D;834;D
839;S;840;S;840;S;840;S
846;D;846;D;846;D;846;D
851;S;852;S;852;S;853;S
858;D;857;D;857;D;858;D
864;S;864;S;864;S;864;S
870;D;870;D;869;D;869;D
876;S;876;S;876;S;876;S
881;D;883;D;880;D;881;D
888;S;888;S;887;S;887;S
893;D;894;D;892;D;893;D
899;S;899;S;898;S;899;S
904;D;906;D;904;D;905;D
911;S;912;S;911;S;911;S
916;D;916;D;916;D;916;D
922;S;923;S;922;S;923;S
927;D;929;D;928;D;931;D
934;S;936;S;934;S;934;S
940;D;942;D;940;D;942;D
946;S;947;S;946;S;947;S
952;D;953;D;952;D;953;D
958;S;959;S;958;S;959;S
964;D;966;D;963;D;964;D
969;S;971;S;970;S;971;S
976;D;977;D;976;D;976;D
982;S;983;S;981;S;983;S
988;D;987;D;988;D;986;D
993;S;995;S;993;S;994;S
1000;D;1001;D;1000;D;1000;D
1007;S;1007;S;1006;S;1007;S
1013;D;1012;D;1013;D;1012;D
1019;S;1018;S;1020;S;1019;S
1025;D;1024;D;1025;D;1024;D
1031;S;1031;S;1031;S;1031;S
1037;D;1038;D;1037;D;1037;D
1043;S;1043;S;1043;S;1042;S
1049;D;1049;D;1049;D;1048;D
1055;S;1055;S;1056;S;1055;S
1060;D;1061;D;1061;D;1061;D
