phase,ivus_frame_auto,frame
S,0,0
D,11,16
S,23,22
D,34,38
S,45,45
D,56,61
S,68,68
D,79,83
S,90,90
D,101,106
S,113,113
D,124,128
S,135,135
D,146,151
S,158,158
D,169,173
S,180,181
D,191,196
S,203,203
D,214,218
S,225,226
D,236,241
S,248,249
D,258,262
S,270,270
D,281,285
S,293,294
D,305,307
S,315,315
D,327,329
S,338,338
D,351,353
S,360,362
D,375,377
S,383,384
D,394,396
S,405,404
D,415,418
S,428,426
D,444,442
S,450,450
D,460,468
S,471,474
D,489,487
S,496,494
D,505,510
S,516,516
D,533,533
S,541,540
D,557,554
S,563,562
D,575,579
S,585,587
D,599,601
S,,608
D,621,622
S,628,630
D,646,648
S,660,656
